publisher	publisher_synonyms	journal_title	permission_name	permission_type	attribution_text	can_display_images	start_year	end_year	link_notes	skip	skip_reason
Rockefeller University Press	Rockefeller University Press|Rockefeller University Press,|Rockefeller University Press (New York)	Journal of Human Immunity	Rockefeller University Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
Rockefeller University Press	Rockefeller University Press|Rockefeller University Press,|Rockefeller University Press (New York)	Life Science Alliance	Rockefeller University Press: full permission	full permission	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes					
The Company of Biologists	Company of Biologists|Company Of Biologists|The Company of Biologists|Company Of Biologists Limited|Company of Biologists Ltd.|Company of Biologists Ltd. (Cambridge)	Biology Open	The Company of Biologists: full permission	full permission (need to mention past articles)	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes			Working-group sheet: full permission (need to mention past articles).	yes	red in working-group sheet: permission type statement not yet agreed (full permission, need to mention past articles)
The Company of Biologists	Company of Biologists|Company Of Biologists|The Company of Biologists|Company Of Biologists Limited|Company of Biologists Ltd.|Company of Biologists Ltd. (Cambridge)	Development (Cambridge, England)	The Company of Biologists: full permission	full permission (need to mention past articles)	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes			Working-group sheet: full permission (need to mention past articles).	yes	red in working-group sheet: permission type statement not yet agreed (full permission, need to mention past articles)
The Company of Biologists	Company of Biologists|Company Of Biologists|The Company of Biologists|Company Of Biologists Limited|Company of Biologists Ltd.|Company of Biologists Ltd. (Cambridge)	Disease Models & Mechanisms	The Company of Biologists: full permission	full permission (need to mention past articles)	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes			Working-group sheet: full permission (need to mention past articles).	yes	red in working-group sheet: permission type statement not yet agreed (full permission, need to mention past articles)
The Company of Biologists	Company of Biologists|Company Of Biologists|The Company of Biologists|Company Of Biologists Limited|Company of Biologists Ltd.|Company of Biologists Ltd. (Cambridge)	Journal of Cell Science	The Company of Biologists: full permission	full permission (need to mention past articles)	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes			Working-group sheet: full permission (need to mention past articles).	yes	red in working-group sheet: permission type statement not yet agreed (full permission, need to mention past articles)
The Company of Biologists	Company of Biologists|Company Of Biologists|The Company of Biologists|Company Of Biologists Limited|Company of Biologists Ltd.|Company of Biologists Ltd. (Cambridge)	The Journal of Experimental Biology	The Company of Biologists: full permission	full permission (need to mention past articles)	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes			Working-group sheet: full permission (need to mention past articles).	yes	red in working-group sheet: permission type statement not yet agreed (full permission, need to mention past articles)
Society of Neuroscience	Society for Neuroscience|Society for Neuroscience,	J Neurosci	Society for Neuroscience: copyright statement (pre-2010)	copyright statement required	Copyright <Publication_year> Society for Neuroscience	yes		2009	J Neurosci Vols. 1-29: include the copyright statement.		
Society of Neuroscience	Society for Neuroscience|Society for Neuroscience,	J Neurosci	Society for Neuroscience: CC-BY-NC-SA 3.0 (2010-2014)	CC-BY-NC-SA 3.0	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes	2010	2014	J Neurosci Vols. 30-34, CC-BY-NC-SA 3.0; SfN does not intend to enforce the noncommercial clause.		
Society of Neuroscience	Society for Neuroscience|Society for Neuroscience,	J Neurosci	Society for Neuroscience: CC-BY 4.0 (2015-2025)	CC-BY 4.0	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes	2015	2025	J Neurosci Vols. 35-45. SfN guidance says 'from 2014 to 2025, inclusive'; 2014 is kept in the CC-BY-NC-SA range here, correct after the working group settles the boundary.		
Society of Neuroscience	Society for Neuroscience|Society for Neuroscience,	J Neurosci	Society for Neuroscience: CC-BY 4.0 (Open Access, 2026-)	CC-BY 4.0 (Open Access content)	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes	2026		Open Access content published after Dec. 31, 2025 only.		
Society of Neuroscience	Society for Neuroscience|Society for Neuroscience,	J Neurosci	Society for Neuroscience: exclusive license (non-OA, 2026-)	SfN exclusive license (non-Open Access content)	Non-Open Access content published after Dec. 31, 2025 is published under an SfN exclusive license. Email jnpermissions@sfn.org to request reuse of this content.	no	2026		Non-Open Access content published after Dec. 31, 2025 only; per-article OA status decides whether this or the CC-BY 4.0 grant applies.		
Society of Neuroscience	Society for Neuroscience|Society for Neuroscience,	eNeuro	Society for Neuroscience: eNeuro (pending)	pending	Reproduced with permission, from <Article_URL>, <Publication_year>, <Journal_URL>. © <Publisher_name>	yes				yes	SfN permission statement is blank in the working-group sheet and the date-based guidance covers J Neurosci volumes only; awaiting working-group decision for eNeuro
